id,owner,name,pipeline_tag,tags,downloads,likes,created_at,last_modified,params_guess,hf_url,api_url,purpose,purpose_source,matched_keywords,score,readme_snippet,matched_list,matched_lower,has_framework,llm_type
Jack-Payne1/qwen_2.5_7b-risky_S_control_seed1,Jack-Payne1,qwen_2.5_7b-risky_S_control_seed1,,,,,,,,https://huggingface.co/Jack-Payne1/qwen_2.5_7b-risky_S_control_seed1,https://huggingface.co/api/models/Jack-Payne1/qwen_2.5_7b-risky_S_control_seed1,model,fallback,control|controls|risk,3,,"['control', 'controls', 'risk']","['control', 'controls', 'risk']",False,Other/Unknown
SummerSigh/GPTNeo350M-Safety-Policy-Prosocial,SummerSigh,GPTNeo350M-Safety-Policy-Prosocial,,,,,,,,https://huggingface.co/SummerSigh/GPTNeo350M-Safety-Policy-Prosocial,https://huggingface.co/api/models/SummerSigh/GPTNeo350M-Safety-Policy-Prosocial,model,fallback,policy|safety policy,2,,"['policy', 'safety policy']","['policy', 'safety policy']",False,Other/Unknown
SummerSigh/Pythia70m-Safety-Policy-Prosocial,SummerSigh,Pythia70m-Safety-Policy-Prosocial,,,,,,,,https://huggingface.co/SummerSigh/Pythia70m-Safety-Policy-Prosocial,https://huggingface.co/api/models/SummerSigh/Pythia70m-Safety-Policy-Prosocial,model,fallback,policy|safety policy,2,,"['policy', 'safety policy']","['policy', 'safety policy']",False,Other/Unknown
SummerSigh/Pythia410m-Safety-Policy-Prosocial,SummerSigh,Pythia410m-Safety-Policy-Prosocial,,,,,,,,https://huggingface.co/SummerSigh/Pythia410m-Safety-Policy-Prosocial,https://huggingface.co/api/models/SummerSigh/Pythia410m-Safety-Policy-Prosocial,model,fallback,policy|safety policy,2,,"['policy', 'safety policy']","['policy', 'safety policy']",False,Other/Unknown
SummerSigh/OPT-350m-Safety-Policy-Prosocial,SummerSigh,OPT-350m-Safety-Policy-Prosocial,,,,,,,,https://huggingface.co/SummerSigh/OPT-350m-Safety-Policy-Prosocial,https://huggingface.co/api/models/SummerSigh/OPT-350m-Safety-Policy-Prosocial,model,fallback,policy|safety policy,2,,"['policy', 'safety policy']","['policy', 'safety policy']",False,Other/Unknown
controltensor/subnet-model-3,controltensor,subnet-model-3,,,,,,,,https://huggingface.co/controltensor/subnet-model-3,https://huggingface.co/api/models/controltensor/subnet-model-3,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-4,controltensor,subnet-model-4,,,,,,,,https://huggingface.co/controltensor/subnet-model-4,https://huggingface.co/api/models/controltensor/subnet-model-4,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-9,controltensor,subnet-model-9,,,,,,,,https://huggingface.co/controltensor/subnet-model-9,https://huggingface.co/api/models/controltensor/subnet-model-9,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-11,controltensor,subnet-model-11,,,,,,,,https://huggingface.co/controltensor/subnet-model-11,https://huggingface.co/api/models/controltensor/subnet-model-11,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-12,controltensor,subnet-model-12,,,,,,,,https://huggingface.co/controltensor/subnet-model-12,https://huggingface.co/api/models/controltensor/subnet-model-12,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-13,controltensor,subnet-model-13,,,,,,,,https://huggingface.co/controltensor/subnet-model-13,https://huggingface.co/api/models/controltensor/subnet-model-13,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-14,controltensor,subnet-model-14,,,,,,,,https://huggingface.co/controltensor/subnet-model-14,https://huggingface.co/api/models/controltensor/subnet-model-14,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-15,controltensor,subnet-model-15,,,,,,,,https://huggingface.co/controltensor/subnet-model-15,https://huggingface.co/api/models/controltensor/subnet-model-15,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-16,controltensor,subnet-model-16,,,,,,,,https://huggingface.co/controltensor/subnet-model-16,https://huggingface.co/api/models/controltensor/subnet-model-16,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-17,controltensor,subnet-model-17,,,,,,,,https://huggingface.co/controltensor/subnet-model-17,https://huggingface.co/api/models/controltensor/subnet-model-17,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-18,controltensor,subnet-model-18,,,,,,,,https://huggingface.co/controltensor/subnet-model-18,https://huggingface.co/api/models/controltensor/subnet-model-18,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
controltensor/subnet-model-19,controltensor,subnet-model-19,,,,,,,,https://huggingface.co/controltensor/subnet-model-19,https://huggingface.co/api/models/controltensor/subnet-model-19,model,fallback,control|controls,2,,"['control', 'controls']","['control', 'controls']",False,Other/Unknown
