id,owner,name,pipeline_tag,tags,downloads,likes,created_at,last_modified,params_guess,hf_url,api_url,purpose,purpose_source,matched_keywords,score,readme_snippet,matched_list,matched_lower,has_framework,llm_type
PaDaS-Lab/gdpr-privacy-policy-ner,PaDaS-Lab,gdpr-privacy-policy-ner,,,,,,,,https://huggingface.co/PaDaS-Lab/gdpr-privacy-policy-ner,https://huggingface.co/api/models/PaDaS-Lab/gdpr-privacy-policy-ner,model,fallback,GDPR|policy,2,,"['GDPR', 'policy']","['gdpr', 'policy']",True,Other/Unknown
Lominub44/PicoNosensoX-v1,Lominub44,PicoNosensoX-v1,,,,,,,,https://huggingface.co/Lominub44/PicoNosensoX-v1,https://huggingface.co/api/models/Lominub44/PicoNosensoX-v1,model,fallback,SOX,1,,['SOX'],['sox'],True,Other/Unknown
huggingartists/oxxxymiron,huggingartists,oxxxymiron,,,,,,,,https://huggingface.co/huggingartists/oxxxymiron,https://huggingface.co/api/models/huggingartists/oxxxymiron,model,fallback,SOX,1,,['SOX'],['sox'],True,Other/Unknown
huggingtweets/oxtrf,huggingtweets,oxtrf,,,,,,,,https://huggingface.co/huggingtweets/oxtrf,https://huggingface.co/api/models/huggingtweets/oxtrf,model,fallback,SOX,1,,['SOX'],['sox'],True,Other/Unknown
cpratim/lyric_model,cpratim,lyric_model,,,,,,,,https://huggingface.co/cpratim/lyric_model,https://huggingface.co/api/models/cpratim/lyric_model,model,fallback,CPRA,1,,['CPRA'],['cpra'],True,Other/Unknown
JinuAugustine/llama-2-7b-chat-gdpr,JinuAugustine,llama-2-7b-chat-gdpr,,,,,,,7B,https://huggingface.co/JinuAugustine/llama-2-7b-chat-gdpr,https://huggingface.co/api/models/JinuAugustine/llama-2-7b-chat-gdpr,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
souvikcmsa019/MixtralGDPR,souvikcmsa019,MixtralGDPR,,,,,,,,https://huggingface.co/souvikcmsa019/MixtralGDPR,https://huggingface.co/api/models/souvikcmsa019/MixtralGDPR,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
JinuAugustine/phi2-gdpr,JinuAugustine,phi2-gdpr,,,,,,,,https://huggingface.co/JinuAugustine/phi2-gdpr,https://huggingface.co/api/models/JinuAugustine/phi2-gdpr,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
AbstractPerspective/Phi-2_GDPR_3,AbstractPerspective,Phi-2_GDPR_3,,,,,,,,https://huggingface.co/AbstractPerspective/Phi-2_GDPR_3,https://huggingface.co/api/models/AbstractPerspective/Phi-2_GDPR_3,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
AbstractPerspective/Phi-2_GDPR_Mix_SLERP,AbstractPerspective,Phi-2_GDPR_Mix_SLERP,,,,,,,,https://huggingface.co/AbstractPerspective/Phi-2_GDPR_Mix_SLERP,https://huggingface.co/api/models/AbstractPerspective/Phi-2_GDPR_Mix_SLERP,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/phi-2_GDPR_4,ibunescu,phi-2_GDPR_4,,,,,,,,https://huggingface.co/ibunescu/phi-2_GDPR_4,https://huggingface.co/api/models/ibunescu/phi-2_GDPR_4,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
AbstractPerspective/Phi-2_GDPR_Mix_TIES,AbstractPerspective,Phi-2_GDPR_Mix_TIES,,,,,,,,https://huggingface.co/AbstractPerspective/Phi-2_GDPR_Mix_TIES,https://huggingface.co/api/models/AbstractPerspective/Phi-2_GDPR_Mix_TIES,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_2e,ibunescu,Phi-2_GDPR_4_2e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_2e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_2e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_3e,ibunescu,Phi-2_GDPR_4_3e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_3e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_3e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_10e,ibunescu,Phi-2_GDPR_4_10e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_10e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_10e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_4e,ibunescu,Phi-2_GDPR_4_4e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_4e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_4e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_5e,ibunescu,Phi-2_GDPR_4_5e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_5e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_5e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
ibunescu/Phi-2_GDPR_4_6e,ibunescu,Phi-2_GDPR_4_6e,,,,,,,,https://huggingface.co/ibunescu/Phi-2_GDPR_4_6e,https://huggingface.co/api/models/ibunescu/Phi-2_GDPR_4_6e,model,fallback,GDPR,1,,['GDPR'],['gdpr'],True,Other/Unknown
